#metadataBlock	name	dataverseAlias	displayName	blockURI												
	archive		Archival Metadata													
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	archiveActiveUntil	Active Until	A date (YYYY-MM-DD) up to which the data set is in the active state	YYYY-MM-DD	date	0	#VALUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE		archive	
	archiveArchivedFrom	Archived From	A date (YYYY-MM-DD) from whith the data set is archived	YYYY-MM-DD	date	1	#VALUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		archive	
	archiveArchivedFor	Archived For	The period for which the record is to be archived. 		text	2	#VALUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE		archive	
	archiveArchivedAt	Archived At	The location where the files are archived	URL	url	3	<a href='#VALUE'>#VALUE</a>	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		archive	https://schema.org/archivedAt
#controlledVocabulary	DatasetField	Value	identifier	displayOrder												
	archiveArchivedFor	1 year	1	0												
	archiveArchivedFor	3 years	3	1												
	archiveArchivedFor	5 years	5	2												
	archiveArchivedFor	10 years	10	3												
