#metadataBlock	name	dataverseAlias	displayName	blockURI												
	privacy		Privacy Metadata													
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	privData	Personal Data	Does the dataset contain personal data according to Art. 4 GDPR?		text	0	#VALUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		privacy	
	privSpecial	Special Categories	Does the dataset contain special categories of personal data according to Art.9 GDPR?		text	1	#VALUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE		privacy	
	privConsent	Explicit Consent	Did each person whose information appears in the data give explicit permission to share the data?		text	2	#VALUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE		privacy	
	privTermsOfConsent	Terms of Consent	Did the content has any restrictions on sharing?	List restrictions or terms under which the consent to share is given	textbox	3	#VALUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		privacy	
	privMeasures	Measures	Which technical and organisational measures are taken to secure the data (e.g. encryption of the data, rights management)?		textbox	4	#VALUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		privacy	
#controlledVocabulary	DatasetField	Value	identifier	displayOrder												
	privData	no	0	0												
	privData	yes, but anonymized	1	1												
	privData	yes, but pseudonymized	2	2												
	privData	yes	3	3												
	privSpecial	no	0	0												
	privSpecial	yes	1	1												
	privConsent	no	0	0												
	privConsent	yes	1	1												
